"Age, ka","Elevation, m"
829.06,-64
832.34,-66
835.72,-61.33333333
839.12,-46.66666667
842.6,-40
846.1,-43.33333333
849.95,-52
853.45,-64.66666667
856.52,-34.66666667
859.76,-36.66666667
863.28,-58
867.16,-92.66666667
871.08,-91.33333333
875.28,-114.6666667
878.64,-108
881.28,-114
883.32,-110
885.12,-99.33333333
886.94,-92.66666667
888.92,-98
891.34,-96
894.2,-92
896.62,-92.66666667
898.16,-65.33333333
899.48,-73.33333333
900.27,-76.66666667
901.22,-72
902.14,-68
903.4,-72
904.9,-72
907.96,-79.33333333
911.9,-88.66666667
914.57,-97.33333333
916.4,-92.66666667
917.6,-93.33333333
918.38,-78
921.36,-77.33333333
925.27,-64
928.58,-58.66666667
932.48,-29.33333333
936.24,-46
940.6,-37.33333333
944.78,-30.66666667
948.89,-21.33333333
952.63,-18
955.72,-67.33333333
958.64,-49.33333333
963.88,-76
966.64,-60.66666667
969.6,-54.66666667
972.84,-50.66666667
976.3,-42
980.12,-58
984.26,-62
988.78,-54.66666667
989.24,-43.33333333
993.2,-59.33333333
998.48,-67.33333333
999.02,-68
1003.52,-66
1004.66,-76.66666667
1009.86,-78
1010.44,-76.66666667
1015.2,-47.33333333
1016.4,-66
1021.08,-38
1022.24,-55.33333333
1026.7,-50.66666667
1026.7,-54
1027.8,-85.33333333
1031.84,-74
1036.38,-89.33333333
1040.2,-93.33333333
1043.1,-87.33333333
1045.9,-83.33333333
1048.35,-76
1050.5,-80.66666667
1052.3,-77.33333333
1054.22,-74
1056.02,-76
1057.74,-75.33333333
1059.38,-72
1061,-64.66666667
1062.54,-48
1064.14,-40
1065.58,-18
1067.15,10
1068.71,-57.33333333
1070.38,-64
1072.18,-19.33333333
1073.74,-36
1075.57,-34
1077.66,-51.33333333
1079.6,-37.33333333
1081.68,-46
1081.9,-26
1083.88,-80.66666667
1084.1,-62
1086.4,-78
1089.04,-78
1091.75,-80.66666667
1094.75,-70
1097.96,-82
1100.56,-84
1102.9,-67.33333333
1104.98,-55.33333333
1108.62,-62
1110.44,-50.66666667
1112.2,-54.66666667
1113.92,-56.66666667
1116.08,-75.33333333
1118.48,-77.33333333
1120.88,-82.66666667
1123.95,-84.66666667
1126.78,-94
1129.8,-86
1132.66,-90
1134.98,-84.66666667
1137.38,-76
1139.54,-86
1141.94,-65.33333333
1143.86,-58.66666667
1146.02,-56.66666667
1148.42,-54
1150.82,-54.66666667
1153.22,-64.66666667
1155.77,-52.66666667
1158.07,-48.66666667
1160.5,-36.66666667
1162.7,-40.66666667
1164.68,-42
1166.79,-54.66666667
1168.68,-47.33333333
1170.78,-31.33333333
1172.88,-48
1174.98,-48.66666667
1177.38,-28.66666667
1179.58,-33.33333333
1181.87,-58
1184.35,-42.66666667
1186.76,-69.33333333
1189.33,-72.66666667
1192.18,-71.33333333
1195.35,-68.66666667
1199.2,-53.33333333
1203.45,-73.33333333
1208.1,-68
1214,-74
1219.42,-63.33333333
1224.16,-46.66666667
1229.06,-46.66666667
1232.7,-32
1236.02,-46
1239.02,-28
1241.8,-29.33333333
1244.65,-50.66666667
1247.56,-66
1250.28,-90
1251.66,-80
1252.54,-90
1252.76,-94
1253.2,-87.33333333
1254.12,-100.6666667
1255.71,-96.66666667
1257.82,-78.66666667
1260.22,-82
1262.74,-76.66666667
1264.63,-74.66666667
1266.73,-68.66666667
1268.83,-60.66666667
1270.93,-54.66666667
1273.06,-52
1275.44,-46.66666667
1277.54,-40.66666667
1279.43,-49.33333333
1281.53,-53.33333333
1283.63,-64
1285.73,-78.66666667
1287.83,-85.33333333
1289.9,-80.66666667
1291.93,-79.33333333
1294,-76.66666667
1295.4,-65.33333333
1295.6,-85.33333333
1297.4,-79.33333333
1298.6,-85.33333333
1300.03,-68
1301.5,-69.33333333
1303.7,-70.66666667
1306.13,-65.33333333
1309.28,-58
1312.46,-48
1315.26,-46.66666667
1317.25,-42
1319.28,-48.66666667
1320.6,-38.66666667
1322.44,-51.33333333
1323.86,-62.66666667
1325.06,-71.33333333
1326.68,-71.33333333
1328.32,-72
1329.76,-68.66666667
1331.92,-72.66666667
1334.32,-71.33333333
1336.96,-68
1343.15,-60.66666667
1345.5,-54.66666667
1348.08,-34.66666667
1350.32,-31.33333333
1352.12,-27.33333333
1354.6,-22.66666667
1356.8,-40.66666667
1359.22,-38
1359.44,-52
1362.4,-56
1365.62,-65.33333333
1367.96,-76.66666667
1370.4,-76
1374.5,-69.33333333
1376.74,-74
1378.75,-67.33333333
1380.82,-68.66666667
1383.63,-52
1386.27,-56
1389.48,-45.33333333
1393.16,-32
1396.63,-31.33333333
1401.08,-40.66666667
1405.18,-52.66666667
