"Age, ka","Elevation, m"
487,-39.2
488,-35.2
489,-29.6
490,-24.8
491,-19.2
492,-32
493,-39.2
494,-48
495,-48
496,-48
497,-36
498,-47.2
499,-41.6
500,-48.8
501,-44
502,-41.6
503,-46.4
504,-54.4
505,-50.4
506,-62.4
507,-56
508,-74.4
509,-66.4
510,-72.8
511,-66.4
512,-79.2
513,-81.6
514,-69.6
515,-69.6
516,-62.4
517,-58.4
518,-67.2
519,-58.4
520,-57.6
521,-54.4
522,-52
523,-56
524,-48
525,-55.2
526,-59.2
527,-58.4
528,-55.2
529,-60.8
530,-59.2
531,-55.2
532,-62.4
533,-70.4
534,-83.2
535,-84.8
536,-105.6
537,-96
538,-104.8
539,-100
540,-104
541,-101.6
542,-97.6
543,-97.6
544,-98.4
545,-96
546,-102.4
547,-104
548,-105.6
549,-104
550,-101.6
551,-97.6
552,-103.2
553,-98.4
554,-84.8
555,-81.6
556,-92.8
557,-89.6
558,-81.6
559,-75.2
560,-72.8
561,-78.4
562,-72.8
563,-75.2
564,-62.4
565,-58.4
566,-50.4
567,-56.8
568,-61.6
569,-59.2
570,-54.4
571,-52.8
572,-28.8
573,-33.6
574,-40
575,-12.8
576,-18.4
577,-20
578,-21.6
579,-27.2
580,-36.8
581,-61.6
582,-72
583,-84.8
584,-86.4
585,-88
586,-76
587,-70.4
588,-76.8
589,-67.2
590,-68.8
591,-67.2
592,-63.2
593,-60.8
594,-53.6
595,-52
596,-52.8
597,-45.6
598,-60.8
599,-63.2
600,-67.2
602,-59.2
604,-43.2
606,-45.6
608,-45.6
610,-20.8
612,-23.2
614,-24
616,-34.4
618,-46.4
620,-68.8
622,-86.4
624,-112
626,-133.6
628,-142.4
630,-148
632,-145.6
634,-136
636,-141.6
638,-125.6
640,-142.4
642,-121.6
644,-116
646,-119.2
648,-121.6
650,-118.4
652,-124.8
654,-123.2
656,-107.2
658,-108
660,-112.8
662,-125.6
664,-108
666,-101.6
668,-113.6
670,-95.2
672,-103.2
674,-98.4
676,-93.6
678,-82.4
680,-72.8
682,-73.6
684,-64
686,-72
688,-57.6
690,-37.6
692,-38.4
694,-32.8
696,-21.6
698,-27.2
700,-33.6
702,-42.4
704,-48.8
706,-56
708,-64
710,-60
712,-66.4
714,-84.8
716,-110.4
718,-121.6
720,-114.4
722,-113.6
724,-96.8
726,-87.2
728,-74.4
730,-74.4
732,-63.2
734,-73.6
736,-76.8
738,-78.4
740,-70.4
742,-75.2
744,-100
746,-115.2
748,-108.8
750,-109.6
752,-100
754,-105.6
756,-108.8
758,-82.4
760,-88
762,-70.4
764,-84
766,-70.4
768,-67.2
770,-60.8
772,-51.2
774,-42.4
776,-32.8
778,-26.4
780,-20
782,-24.8
784,-25.6
786,-36
788,-37.6
790,-74.4
792,-83.2
794,-120.8
796,-115.2
798,-116
800,-116
802,-120
804,-105.6
806,-104
808,-100.8
810,-86.4
812,-92
814,-71.2
816,-68
818,-53.6
820,-58.4
822,-53.6
824,-55.2
826,-70.4
828,-57.6
830,-64.8
832,-67.2
834,-57.6
836,-47.2
838,-60.8
840,-63.2
842,-46.4
844,-35.2
846,-28
848,-32
850,-21.6
852,-33.6
854,-32
856,-18.4
858,-15.2
860,-17.6
862,-36
864,-28
866,-66.4
868,-87.2
870,-102.4
872,-115.2
874,-116
876,-116.8
878,-108.8
880,-116
882,-95.2
884,-99.2
886,-99.2
888,-97.6
890,-92.8
892,-87.2
894,-94.4
896,-93.6
898,-88
900,-84.8
902,-75.2
904,-72.8
906,-71.2
908,-60.8
910,-60.8
912,-68.8
914,-64
916,-66.4
918,-91.2
920,-102.4
922,-105.6
924,-96
926,-92
928,-82.4
930,-69.6
932,-67.2
934,-60
936,-63.2
938,-50.4
940,-52.8
942,-36.8
944,-27.2
946,-32
948,-20
950,-16.8
952,-5.6
954,-12.8
956,-8
958,-40
960,-74.4
962,-95.2
964,-108
966,-85.6
968,-78.4
970,-68.8
972,-60
974,-51.2
976,-43.2
978,-39.2
980,-42.4
982,-60.8
984,-73.6
986,-80.8
988,-78.4
990,-70.4
992,-66.4
994,-56.8
996,-48.8
998,-48.8
1000,-56.8
1002,-73.6
1004,-84
1006,-79.2
1008,-79.2
1010,-71.2
1012,-72
1014,-60.8
1016,-40
1018,-44
1020,-48
1022,-27.2
1024,-32.8
1026,-51.2
1028,-48.8
1030,-57.6
1032,-68
1034,-90.4
1036,-88
1038,-104.8
1040,-88
1042,-80
1044,-92
1046,-79.2
1048,-84.8
1050,-76
1052,-83.2
1054,-81.6
1056,-71.2
1058,-80
1060,-68
1062,-56.8
1064,-34.4
1066,-20
1068,-8
1070,-8.8
1072,1.6
1074,-15.2
1076,-20
1078,-24.8
1080,-30.4
1082,-46.4
1084,-37.6
1086,-52.8
1088,-54.4
1090,-57.6
1092,-62.4
1094,-61.6
1096,-64
1098,-84.8
1100,-68
1102,-64
1104,-56
1106,-48
1108,-35.2
1110,-49.6
1112,-48.8
1114,-71.2
1116,-72.8
1118,-77.6
1120,-68.8
1122,-99.2
1124,-88.8
1126,-101.6
1128,-92
1130,-87.2
1132,-65.6
1134,-79.2
1136,-80.8
1138,-63.2
1140,-63.2
1142,-59.2
1144,-60.8
1146,-50.4
1148,-63.2
1150,-47.2
1152,-41.6
1154,-42.4
1156,-44.8
1158,-36
1160,-29.6
1162,-29.6
1164,-34.4
1166,-24
1168,-26.4
1170,-29.6
1172,-40
1174,-42.4
1176,-40.8
1178,-45.6
1180,-29.6
1182,-48.8
1184,-33.6
1186,-43.2
1188,-35.2
1190,-65.6
1192,-72.8
1194,-83.2
1196,-84
1198,-96
1200,-95.2
1202,-77.6
1204,-88.8
1206,-74.4
1208,-87.2
1210,-77.6
1212,-68
1214,-69.6
1216,-47.2
1218,-40
1220,-59.2
1222,-56.8
1224,-40.8
1226,-32
1228,-25.6
1230,-15.2
1232,-14.4
1234,-8.8
1236,-12
1238,-9.6
1240,-8
1242,-19.2
1244,-49.6
1246,-69.6
1248,-90.4
1250,-86.4
1252,-81.6
1254,-83.2
1256,-70.4
1258,-53.6
1260,-51.2
1262,-67.2
1264,-58.4
1266,-54.4
1268,-54.4
1270,-48.8
1272,-46.4
1274,-48.8
1276,-38.4
1278,-35.2
1280,-26.4
1282,-33.6
1284,-48.8
1286,-59.2
1288,-82.4
1290,-89.6
1292,-72.8
1294,-56.8
1296,-77.6
1298,-73.6
1300,-67.2
1302,-66.4
1304,-59.2
1306,-53.6
1308,-45.6
1310,-33.6
1312,-36.8
1314,-38.4
1316,-28.8
1318,-40
1320,-57.6
1322,-56.8
1324,-60.8
1326,-61.6
1328,-68.8
1330,-66.4
1332,-63.2
1334,-76.8
1336,-76.8
1338,-69.6
1340,-76.8
1342,-67.2
1344,-52
1346,-50.4
1348,-35.2
1350,-28.8
1352,-20.8
1354,-14.4
1356,-21.6
1358,-25.6
1360,-32
1362,-45.6
1364,-60
1366,-60.8
1368,-77.6
1370,-64.8
1372,-82.4
1374,-78.4
1376,-68
1378,-77.6
1380,-65.6
1382,-58.4
1384,-47.2
1386,-39.2
1388,-30.4
1390,-40
1392,-28.8
1394,-37.6
1396,-24.8
1398,-20.8
1400,-26.4
1402,-32
1404,-40.8
1406,-59.2
1408,-59.2
1410,-77.6
1412,-93.6
1414,-79.2
1416,-58.4
1418,-48.8
1420,-58.4
1422,-48
1424,-39.2
1426,-39.2
1428,-30.4
1430,-23.2
1432,-12
1434,-12
1436,-0.8
1438,-0.8
1440,-4
1442,-8.8
1444,-8
1446,-10.4
1448,-9.6
1450,-20.8
1452,-45.6
1454,-77.6
1456,-86.4
1458,-80.8
1460,-69.6
1462,-67.2
1464,-79.2
1466,-60.8
1468,-51.2
1470,-31.2
1472,-17.6
1474,-12
1476,-6.4
1478,-15.2
1480,-12.8
1482,-16.8
1484,-27.2
1486,-15.2
1488,-15.2
1490,-22.4
1492,-43.2
1494,-65.6
1496,-90.4
1498,-80.8
1500,-78.4
1502.5,-84.8
1505,-74.4
1507.5,-73.6
1510,-63.2
1512.5,-40.8
1515,-36.8
1517.5,-44.8
1520,-32.8
1522.5,-35.2
1525,-37.6
1527.5,-52.8
1530,-58.4
1532.5,-77.6
1535,-94.4
1537.5,-89.6
1540,-92
1542.5,-85.6
1545,-67.2
1547.5,-59.2
1550,-47.2
1552.5,-36
1555,-39.2
1557.5,-44.8
1560,-42.4
1562.5,-28
1565,-26.4
1567.5,-40
1570,-49.6
1572.5,-75.2
1575,-80.8
1577.5,-76
1580,-60.8
1582.5,-60.8
1585,-45.6
1587.5,-34.4
1590,-39.2
1592.5,-50.4
1595,-38.4
1597.5,-30.4
1600,-24
1602.5,-11.2
1605,-25.6
1607.5,-34.4
1610,-34.4
1612.5,-52
1615,-48.8
1617.5,-53.6
1620,-33.6
1622.5,-36
1625,-42.4
1627.5,-62.4
1630,-25.6
1632.5,-27.2
1635,-26.4
1637.5,-29.6
1640,-36
1642.5,-52
1645,-65.6
1647.5,-75.2
1650,-76
1652.5,-81.6
1655,-84
1657.5,-70.4
1660,-72
1662.5,-68
1665,-72
1667.5,-54.4
1670,-52
1672.5,-50.4
1675,-25.6
1677.5,-39.2
1680,-33.6
1682.5,-27.2
1685,-28.8
1687.5,-40.8
1690,-39.2
1692.5,-41.6
1695,-47.2
1697.5,-43.2
1700,-68.8
1702.5,-73.6
1705,-71.2
1707.5,-75.2
1710,-56
1712.5,-50.4
1715,-48
1717.5,-27.2
1720,-23.2
1722.5,-39.2
1725,-44.8
1727.5,-45.6
1730,-40.8
1732.5,-50.4
1735,-29.6
1737.5,-29.6
1740,-38.4
1742.5,-36.8
1745,-72
1747.5,-78.4
1750,-74.4
1752.5,-49.6
1755,-40.8
1757.5,-48
1760,-24
1762.5,-32
1765,-20.8
1767.5,-23.2
1770,-20
1772.5,-12
1775,-24
1777.5,-27.2
1780,-33.6
1782.5,-45.6
1785,-43.2
1787.5,-49.6
1790,-60.8
1792.5,-66.4
1795,-68.8
1797.5,-52.8
1800,-57.6
1802.5,-45.6
1805,-36
1807.5,-34.4
1810,-23.2
1812.5,-36
